id_aeroport;length_ft;le_identificateur;le_seuil_decale_ft;he_identificateur;he_seuil_decale_ft
BOO;11136;7;1969;25;
BOS;2557;15L;;33R;
BOS;5000;14;;32;
BOS;7000;9;;27;
BOS;7861;04L;;22R;815
BOS;10005;04R;1154;22L;1199
BOS;10083;15R;880;33L;
BOU;5085;6;;24;426
BOW;4400;09R;;27L;
BOW;5000;5;;23;
BOW;5001;09L;;27R;
BOX;3770;2;;20;
BOY;10826;6;;24;
BPC;8202;17;;35;1643
BPG;5243;7;;25;
BPH;3937;5;;23;
BPI;6803;13;;31;
BPM;10600;9;1575;27;2424
BPN;8185;7;;25;
BPS;6562;10;;28;
BPT;5070;16;;34;
BPT;6750;12;;30;
BPX;18045;14;;32;
BPY;4046;8;;26;
BQA;3937;5;;23;
BQB;5906;3;;21;
BQH;2598;11;;29;
BQH;5912;3;790;21;
BQK;8001;7;;25;
BQL;4180;14;;32;
BQN;11702;8;;26;
BQQ;4265;6;;24;
BQS;9256;18;;36;
BQT;8596;11;;29;
BQU;3609;12;;30;
BQW;5282;15;;33;
BRA;5249;8;;26;
BRC;7703;11;;29;
BRD;4080;12;510;30;561
BRD;6500;5;;23;
BRD;6500;16;;34;
BRE;6693;9;;27;
BRI;9252;7;1234;25;
BRK;3281;18;;36;
BRK;6004;5;;23;
BRL;5350;12;;30;500
BRL;6702;18;1210;36;
BRM;9350;9;;27;1541
BRN;4954;14;656;32;360
BRO;3000;13L;;31R;
BRO;6000;17;;35;
BRO;7400;13R;;31L;
BRQ;8694;9;;27;
BRR;2621;7;;25;
BRR;2776;15;;33;
BRS;6598;9;;27;443
BRT;4823;15;;33;
BRU;9800;1;151;19;571
BRU;10535;07R;400;25L;
BRU;11936;07L;846;25R;984
BRW;6500;6;;24;
BRX;9843;12;;30;
BRY;5003;2;;20;
BSB;10499;11L;;29R;
BSB;10827;11R;;29L;
BSC;3973;18;;36;
BSF;3695;9;;27;
BSG;7001;4;;22;
BSJ;2789;14;;32;
BSJ;3612;4;;22;
BSK;9469;13;;31;
BSL;5969;8;;26;722
BSL;12795;15;;33;
BSM;3235;9;;27;
BSO;4101;6;;24;
BSP;2772;14;;32;
BSQ;2650;2;;20;
BSQ;5929;17;;35;
BSR;13124;14;;32;
BSS;3281;15;;33;
BSW;2612;4;;22;
BSX;4400;6;;24;300
BSY;4017;15;;33;
BTC;3592;6;;24;
BTD;3248;14;;32;
BTD;4888;9;;27;
BTF;4700;16;390;34;390
BTH;13270;4;;22;
BTI;4820;7;;25;
BTJ;9843;17;;35;
BTK;10368;12;;30;
BTL;4835;13;;31;
BTL;10003;5;;23;
BTM;5100;11;;29;
BTM;9001;15;;33;
BTN;5000;6;;24;
BTP;4005;8;;26;
BTQ;4000;9;;27;
BTR;3799;04R;;22L;
BTR;6900;04L;;22R;424
BTR;7004;13;597;31;315
BTS;9515;4;;22;
BTS;10466;13;;31;777
BTT;5190;1;;19;
BTU;9006;17;;35;
BTV;3611;1;225;19;
BTV;8320;15;;33;500
BTW;5930;9;;27;
BTX;3543;11;;29;
BTY;5600;16;;34;
BUA;5125;4;;22;
BUB;3212;15;;33;
BUC;4501;3;;21;
BUD;9875;13R;;31L;
BUD;12162;13L;;31R;
BUF;7161;14;320;32;720
BUF;8102;5;324;23;
BUG;5315;14;;32;
BUI;2798;10;;28;
BUJ;7218;4;;22;
BUM;4000;18;;36;
BUN;3945;9;;27;
BUP;9200;13;;31;
BUQ;4419;2;;20;
BUQ;8491;13;;31;
BUR;5801;8;;26;
BUR;6886;15;909;33;350
BUS;7325;13;;31;
BUW;3445;4;;22;
BUX;6070;10;;28;
BUY;3330;7;;25;673
BUZ;14663;13L;;31R;
