id;type_aero;nom;latitude_deg;longitude_deg;elevation_ft;code_continent;code_pays;municipalite;code_icao;fuseau
LVL;small_airport;Lawrenceville Brunswick Municipal Airport;36.7728004456;-77.79429626459999;329;NA;US;Lawrenceville;KLVL;America/New_York
LVM;medium_airport;Mission Field;45.6994018555;-110.447998047;4660;NA;US;Livingston;KLVM;America/Denver
LVO;small_airport;Laverton Airport;-28.61359977722168;122.42400360107422;1530;OC;AU;;YLTN;Australia/Perth
LVP;medium_airport;Lavan Island Airport;26.810300827026367;53.356300354003906;76;AS;IR;;OIBV;Asia/Tehran
LVR;small_airport;Municipal Bom Futuro Airport;-13.0378611111;-55.95025;1345;SA;BR;Lucas do Rio Verde;SILC;America/Cuiaba
LVS;medium_airport;Las Vegas Municipal Airport;35.6542015076;-105.141998291;6877;NA;US;Las Vegas;KLVS;America/Denver
LWB;medium_airport;Greenbrier Valley Airport;37.8582992554;-80.3994979858;2302;NA;US;Lewisburg;KLWB;America/New_York
LWC;small_airport;Lawrence Municipal Airport;39.01119995;-95.21659851;833;NA;US;Lawrence;KLWC;America/Chicago
LWE;small_airport;Lewoleba Airport;-8.3629;123.438;25;AS;ID;Lewoleba-Lembata Island;WATW;Asia/Makassar
LWH;small_airport;Lawn Hill Airport;-18.568300247192383;138.63499450683594;122;OC;AU;;YLAH;Australia/Brisbane
LWI;small_airport;Lowai Airport;-6.3344;146.6458;2900;OC;PG;Lowai;AYLO;Pacific/Port_Moresby
LWK;small_airport;Lerwick / Tingwall Airport;60.192199707;-1.24361002445;43;EU;GB;Lerwick;EGET;Europe/London
LWL;small_airport;Wells Municipal Airport/Harriet Field;41.117099762;-114.92199707;5772;NA;US;Wells;KLWL;America/Los_Angeles
LWM;medium_airport;Lawrence Municipal Airport;42.717201232899995;-71.1233978271;148;NA;US;Lawrence;KLWM;America/New_York
LWN;medium_airport;Gyumri Shirak Airport;40.7504005432;43.859298706100006;5000;AS;AM;Gyumri;UDSG;Asia/Yerevan
LWO;medium_airport;Lviv International Airport;49.8125;23.956100463867188;1071;EU;UA;Lviv;UKLL;Europe/Kiev
LWR;medium_airport;Leeuwarden Air Base;53.228599548339844;5.760560035705566;3;EU;NL;Leeuwarden;EHLW;Europe/Amsterdam
LWS;medium_airport;Lewiston Nez Perce County Airport;46.3745002746582;-117.01499938964844;1442;NA;US;Lewiston;KLWS;America/Los_Angeles
LWT;medium_airport;Lewistown Municipal Airport;47.04930114746094;-109.46700286865234;4170;NA;US;Lewistown;KLWT;America/Denver
LWV;small_airport;Lawrenceville Vincennes International Airport;38.7643013;-87.6054992676;430;NA;US;Lawrenceville;KLWV;America/Chicago
LWY;small_airport;Lawas Airport;4.849170207977295;115.40799713134766;5;AS;MY;Lawas;WBGW;Asia/Kuching
LXA;medium_airport;Lhasa Gonggar Airport;29.2978000641;90.91190338130001;11713;AS;CN;Lhasa;ZULS;Asia/Urumqi
LXG;small_airport;Luang Namtha Airport;20.966999053955078;101.4000015258789;1968;AS;LA;Luang Namtha;VLLN;Asia/Vientiane
